title_name,company_name,location,summary,post_day,rating,salary,jobs_type
Full Stack Developer - Data Science - Data Engineering,Goldman Sachs,"Dallas, TX 75201 75201 (Downtown area)","The Business Intelligence Team is a central platform team at Goldman Sachs that aims to maximize the safe and efficient use of Business Intelligence (BI)…View all Goldman Sachs jobs in Dallas, TX - Dallas jobsSalary Search: Full Stack Developer - Data Science - Data Engineering salaries in Dallas, TXSee popular questions & answers about Goldman Sachs",30+ days ago,4.0,,Full-time
Data Scientist,Circle,"Remote in Dallas, TX","Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…View all Circle jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist salaries in Dallas, TXSee popular questions & answers about Circle",30+ days ago,3.7,,
newPrincipal-Advanced Analytics,AT&T,"Dallas, TX","This position analyzes data from multiple sources including datalakes, internal/external data, data warehouses, etc.View all AT&T jobs in Dallas, TX - Dallas jobsSalary Search: Principal-Advanced Analytics salaries in Dallas, TXSee popular questions & answers about AT&T",Just posted,3.7,,Full-time
"Data Scientist, Loss Forecasting",SoFi,"Dallas, TX","Aggregating and synthesizing data sets from multiple data environments.The data scientist will help SoFi develop better data driven loss forecasting by:View all SoFi jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist, Loss Forecasting salaries in Dallas, TXSee popular questions & answers about SoFi",30+ days ago,3.3,,
Data Scientist,RAPP,"Dallas, TX 75238 75238 (Northeast Dallas area)","Our data science team partners closely with our Creative, Strategy, Analytics and Technology colleagues.You code in R or Python and don't mind getting your…View all RAPP jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist salaries in Dallas, TXSee popular questions & answers about RAPP",30+ days ago,3.4,,
Data Scientist,"Quantum Assurance International, Inc.","Allen, TX 75013 75013","Work with data infrastructure / product engineering teams to define the data collection needs.Collaborate with leadership, product, analytics, and engineering…View all Quantum Assurance International, Inc. jobs in Allen, TX - Allen jobsSalary Search: Data Scientist salaries in Allen, TXSee popular questions & answers about Quantum Assurance International, Inc.",30+ days ago,3.6,,
Data Science & Machine Learning SA w/ Conversational AI,PRICE WATERHOUSE COOPERS,"Remote in Dallas, TX 75201 75201+6 locations","Understanding of conversational (Chats, emails and Calls) data, and the use of this data to train NLP Pipeline and chatbots;View all PRICE WATERHOUSE COOPERS jobs in Dallas, TX - Dallas jobsSalary Search: Data Science & Machine Learning SA w/ Conversational AI salaries in Dallas, TXSee popular questions & answers about PRICE WATERHOUSE COOPERS",28 days ago,4.0,,
Data Scientist,Verizon,"Irving, TX 75038 75038","Experience analyzing and validating large data sets.You want to make an impact by providing the data that will help improve the experience of our customers.View all Verizon jobs in Irving, TX - Irving jobsSalary Search: Data Scientist salaries in Irving, TXSee popular questions & answers about Verizon",19 days ago,3.9,,Full-time
"Data Engineer, Analytics & Cognitive - Consultant (SQL/Pytho...",Deloitte,"Dallas, TX 75201 75201 (Downtown area)+5 locations","2+ years of hands on experience with data core modernization and data ingestion.Implement large-scale data ecosystems including data management, governance and…View all Deloitte jobs in Dallas, TX - Dallas jobsSalary Search: Data Engineer, Analytics & Cognitive - Consultant (SQL/Python) salaries in Dallas, TXSee popular questions & answers about Deloitte",30+ days ago,4.0,,Full-time
Data Science & Machine Learning SA w/ Conversational AI,PRICE WATERHOUSE COOPERS,"Remote in Dallas, TX 75201 75201+6 locations","Understanding of conversational (Chats, emails and Calls) data, and the use of this data to train NLP Pipeline and chatbots;View all PRICE WATERHOUSE COOPERS jobs in Dallas, TX - Dallas jobsSalary Search: Data Science & Machine Learning SA w/ Conversational AI salaries in Dallas, TXSee popular questions & answers about PRICE WATERHOUSE COOPERS",28 days ago,4.0,,
Data Scientist,"Quantum Assurance International, Inc.","Allen, TX 75013 75013","Work with data infrastructure / product engineering teams to define the data collection needs.Collaborate with leadership, product, analytics, and engineering…View all Quantum Assurance International, Inc. jobs in Allen, TX - Allen jobsSalary Search: Data Scientist salaries in Allen, TXSee popular questions & answers about Quantum Assurance International, Inc.",30+ days ago,3.6,,
newPrincipal-Advanced Analytics,AT&T,"Dallas, TX","This position analyzes data from multiple sources including datalakes, internal/external data, data warehouses, etc.View all AT&T jobs in Dallas, TX - Dallas jobsSalary Search: Principal-Advanced Analytics salaries in Dallas, TXSee popular questions & answers about AT&T",Just posted,3.7,,Full-time
"Data Scientist, Loss Forecasting",SoFi,"Dallas, TX","Aggregating and synthesizing data sets from multiple data environments.The data scientist will help SoFi develop better data driven loss forecasting by:View all SoFi jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist, Loss Forecasting salaries in Dallas, TXSee popular questions & answers about SoFi",30+ days ago,3.3,,
newLead Data Scientist,The Coca-Cola Company,"Plano, TX 75024 75024","Partner with business and technical stakeholders across the organization to translate challenging business problems into impactful data science solutions.View all The Coca-Cola Company jobs in Plano, TX - Plano jobsSalary Search: Lead Data Scientist salaries in Plano, TXSee popular questions & answers about The Coca-Cola Company",Today,3.9,,Full-time
newBig Data Engineer - Virtual,Deloitte,"Arlington, TX+12 locations","Perform data analysis to ensure accuracy and integrity of data by understanding business context.2+ years working in data engineering functions.View all Deloitte jobs in Arlington, TX - Arlington jobsSalary Search: Big Data Engineer - Virtual salaries in Arlington, TXSee popular questions & answers about Deloitte",1 day ago,4.0,,Full-time
Senior Data Analyst - Global Data Science & Analytics,Zeta Global,"Remote in Dallas, TX","Support the management of internal data marts and modeling infrastructure - Monitor the quality & integrity of data sources.View all Zeta Global jobs in Dallas, TX - Dallas jobsSalary Search: Senior Data Analyst - Global Data Science & Analytics salaries in Dallas, TXSee popular questions & answers about Zeta Global",30+ days ago,2.7,,
Head of Data Science,Bestow,"Remote in Dallas, TX","10+ years of data science experience.Familiar with a variety of data science, machine learning, and artificial intelligence technologies.View all Bestow jobs in Dallas, TX - Dallas jobsSalary Search: Head of Data Science salaries in Dallas, TX",30+ days ago,,,
Data Scientist,Verizon,"Irving, TX 75038 75038","Experience analyzing and validating large data sets.You want to make an impact by providing the data that will help improve the experience of our customers.View all Verizon jobs in Irving, TX - Irving jobsSalary Search: Data Scientist salaries in Irving, TXSee popular questions & answers about Verizon",19 days ago,3.9,,Full-time
Consumer Insight Data Science – CWM Engineering – Associate...,Goldman Sachs,"Richardson, TX 75082 75082+1 location","Good understanding of predictive models and data science techniques.As part of the data science function for Marcus cards business and the Marcus App, one…View all Goldman Sachs jobs in Richardson, TX - Richardson jobsSalary Search: Consumer Insight Data Science – CWM Engineering – Associate (Richardson) salaries in Richardson, TXSee popular questions & answers about Goldman Sachs",30+ days ago,4.0,,Full-time
newBusiness Data Analyst,"MV Transportation, Inc.","Dallas, TX","Create data flows on Spark Clusters to perform data manipulation at scale.Develops, maintains, and monitors data governance processes and tools to improve and…View all MV Transportation, Inc. jobs in Dallas, TX - Dallas jobsSalary Search: Business Data Analyst salaries in Dallas, TXSee popular questions & answers about MV Transportation, Inc.",5 days ago,3.1,,
Data Science Manager,Bain & Company,"Dallas, TX 75202 75202 (Downtown area)+1 location","Train relevant AAG team members to support big data/data science initiatives.This position will be part of the Advanced Analytics Group (Bain’s team of data…View all Bain & Company jobs in Dallas, TX - Dallas jobsSalary Search: Data Science Manager salaries in Dallas, TXSee popular questions & answers about Bain & Company",30 days ago,4.3,,
newData Scientist (100% Remote),Frontdoor,"Remote in Dallas, TX 75219 75219","Solid foundation in data structures and algorithms.Process massive amounts of structured and unstructured data.Run A/B test experiments and analyze results.View all Frontdoor jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist (100% Remote) salaries in Dallas, TX",5 days ago,,,
newDivision Director of Data Science,Medical City Healthcare,"Dallas, TX 75240 75240","Understanding of the operational and software aspects of data science.The role of the data scientist is to use mathematics, programming, big data management…View all Medical City Healthcare jobs in Dallas, TX - Dallas jobsSalary Search: Division Director of Data Science salaries in Dallas, TXSee popular questions & answers about Medical City Healthcare",1 day ago,3.7,,Full-time
newSr Marketing Data Analyst,Toyota,"Plano, TX 75023 75023","Perform data analysis over large marketing data systems applying structured and repeatable data analysis techniques.Work on POCs and feature set comparisons.View all Toyota jobs in Plano, TX - Plano jobsSalary Search: Sr Marketing Data Analyst salaries in Plano, TXSee popular questions & answers about Toyota",Just posted,4.0,,
Product Analytics - Data Scientist,Match,"Dallas, TX","You will identify and apply correct statistical techniques to draw rigorous conclusions from data.You have at least 2 years of professional experience as data…View all Match jobs in Dallas, TX - Dallas jobsSalary Search: Product Analytics - Data Scientist salaries in Dallas, TX",30+ days ago,3.5,,Part-time
newSenior ML Data Engineer,Data Ninjas Inc,"Dallas, TX","Perform data cleansing, scraping unstructured data and converting into structured data.Implement distributed data processing pipelines using tools and…View all Data Ninjas Inc jobs in Dallas, TX - Dallas jobsSalary Search: Senior ML Data Engineer salaries in Dallas, TX",1 day ago,,"$125,000 - $145,000 a year","$125,000 - $145,000 a year"
Technical Sourcer - Data & Applied Sciences,Uber,"Dallas, TX 75201 75201+1 location","Pulls data on hiring metrics from various sources - can pull internal hiring metrics/data (e.g. historic conversions, time to hire, etc.).View all Uber jobs in Dallas, TX - Dallas jobsSalary Search: Technical Sourcer - Data & Applied Sciences salaries in Dallas, TXSee popular questions & answers about Uber",30+ days ago,3.7,,Full-time
Assistant Professor - Mathematical Sciences (Data Science),University of Texas at Dallas,"Richardson, TX 75080 75080","Contribute assessment information and data as requested.The Department of Mathematical Sciences within the School of Natural Sciences and Mathematics at The…View all University of Texas at Dallas jobs in Richardson, TX - Richardson jobsSalary Search: Assistant Professor - Mathematical Sciences (Data Science) salaries in Richardson, TXSee popular questions & answers about University of Texas at Dallas",14 days ago,4.3,,Full-time
Data Scientist,Kairos Technologies,"Irving, TX 75062 75062 (Belt Line area)","Design solutions such as build models using AI/ML and using standard data science techniques.Perform analysis on fraud data/trends.View all Kairos Technologies jobs in Irving, TX - Irving jobsSalary Search: Data Scientist salaries in Irving, TX",Active 2 days ago,,,Part-time +2
newDivision Director of Data Science,Medical City Healthcare,"Dallas, TX 75240 75240","Understanding of the operational and software aspects of data science.The role of the data scientist is to use mathematics, programming, big data management…View all Medical City Healthcare jobs in Dallas, TX - Dallas jobsSalary Search: Division Director of Data Science salaries in Dallas, TXSee popular questions & answers about Medical City Healthcare",1 day ago,3.7,,Full-time
Data Scientist,Verizon,"Irving, TX 75038 75038","Experience analyzing and validating large data sets.You want to make an impact by providing the data that will help improve the experience of our customers.View all Verizon jobs in Irving, TX - Irving jobsSalary Search: Data Scientist salaries in Irving, TXSee popular questions & answers about Verizon",19 days ago,3.9,,Full-time
newPCCI- Sachs Sum Scholar HS Int,Parkland Health and Hospital System,"Dallas, TX 75201 75201","Primary Purpose Works in PCCI with technology leaders with the goal of learning the basics of data science, machine learning and health care technology.View all Parkland Health and Hospital System jobs in Dallas, TX - Dallas jobsSee popular questions & answers about Parkland Health and Hospital System",6 days ago,3.9,,
newData Scientist (Strategic Pricing),"Essilor of America, Inc.","Dallas, TX 75234 75234","Use analytics and data mining to conduct detailed analysis to support strategic pricing initiatives.Work with the Business Systems team to increase the…View all Essilor of America, Inc. jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist (Strategic Pricing) salaries in Dallas, TX",Active 3 days ago,,"From $95,000 a year","From $95,000 a year"
Data Analyst,NTE Mobility Partners LLC,"Dallas, TX","Training in data science techniques either through academia or work experience.Perform data mining and data wrangling from primary and secondary sources, use…View all NTE Mobility Partners LLC jobs in Dallas, TX - Dallas jobsSalary Search: Data Analyst salaries in Dallas, TXSee popular questions & answers about NTE Mobility Partners LLC",30+ days ago,3.3,,Full-time
newData Science Consultant,Accenture,"Irving, TX 75039 75039 (Las Colinas Urban Center area)+4 locations","Apply data science methodologies to deliver insights to clients.At least 3 years’ working in data science using statistics.View all Accenture jobs in Irving, TX - Irving jobsSalary Search: Data Science Consultant salaries in Irving, TXSee popular questions & answers about Accenture",6 days ago,4.0,,Full-time
newAutonomous Vehicle MLOps Lead,Deloitte,"Dallas, TX 75201 75201 (Downtown area)","Integrate with data pipeline process for target datasets - models during training and simulation.Bachelor's Degree in CS or IE/Data science with 6+ years in…View all Deloitte jobs in Dallas, TX - Dallas jobsSee popular questions & answers about Deloitte",1 day ago,4.0,,Full-time
Data Scientist,CREF,"Dallas, TX 75201 75201","This role will work with the team to build the data science elements of iCREF to help improve user experience and, help drive the design and architecture of…View all CREF jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist salaries in Dallas, TX",30+ days ago,,,Full-time
Cloud Data Engineer,Amaze Systems Inc,"Plano, TX","Big data: 5 years (Preferred).Innovate new ways of managing, transforming and validating data.Work with Cloud Architect to identify data components and…View all Amaze Systems Inc jobs in Plano, TX - Plano jobsSalary Search: Cloud Data Engineer salaries in Plano, TX",Active 2 days ago,,$55 - $60 an hour,$55 - $60 an hour
Senior Data Scientist,Freedom Financial Network,"Dallas, TX 75201 75201","5+ years of experience as a professional data scientist.Keen eye for opportunities to get value from data.As a Senior Data Scientist at Freedom Financial, you…View all Freedom Financial Network jobs in Dallas, TX - Dallas jobsSalary Search: Senior Data Scientist salaries in Dallas, TXSee popular questions & answers about Freedom Financial Network",30+ days ago,3.6,,Full-time
Data Analyst,NTE Mobility Partners LLC,"Dallas, TX","Training in data science techniques either through academia or work experience.Perform data mining and data wrangling from primary and secondary sources, use…View all NTE Mobility Partners LLC jobs in Dallas, TX - Dallas jobsSalary Search: Data Analyst salaries in Dallas, TXSee popular questions & answers about NTE Mobility Partners LLC",30+ days ago,3.3,,Full-time
AML - Staff Data Analyst,Walmart,"Dallas, TX","Option 3: 5 years' experience in data analysis, data science, statistics, or related field.Designing, developing, and supporting powerful data visualizations…View all Walmart jobs in Dallas, TX - Dallas jobsSalary Search: AML - Staff Data Analyst salaries in Dallas, TXSee popular questions & answers about Walmart",Active 6 days ago,3.5,,Full-time
"Data Engineer, Customer Success",Salesforce,"Dallas, TX 75201 75201 (Downtown area)","The Customer Data Intelligence team in CSG creates data driven intelligence on customer’s usage and adoption, which in turn is used to help customer further…View all Salesforce jobs in Dallas, TX - Dallas jobsSalary Search: Data Engineer, Customer Success salaries in Dallas, TXSee popular questions & answers about Salesforce",30+ days ago,4.3,"$75,000 a year","$75,000 a year"
Data Scientist,Bankers Healthcare Group,"Remote in Dallas, TX","Modeling experience with FCRA-regulated data (e.g. credit bureau attributes) is a plus.Strong communication skills: written, verbal, presentation, and…View all Bankers Healthcare Group jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist salaries in Dallas, TXSee popular questions & answers about Bankers Healthcare Group",20 days ago,4.2,,Full-time
newPrincipal Program Manager,Microsoft,"Dallas, TX","This should help us win lighthouse deals that pull in not just Power BI, but other elements of the Microsoft BI and data stack.View all Microsoft jobs in Dallas, TX - Dallas jobsSalary Search: Principal Program Manager salaries in Dallas, TXSee popular questions & answers about Microsoft",Today,4.2,,Full-time
newData Analyst,"DriveTime Automotive Group, Inc.","Dallas, TX","O Experience with unstructured data such as JSON and XML.Analyzing and communicating results of various data analysis projects to senior management.View all DriveTime Automotive Group, Inc. jobs in Dallas, TX - Dallas jobsSalary Search: Data Analyst salaries in Dallas, TXSee popular questions & answers about DriveTime Automotive Group, Inc.",4 days ago,3.3,,Full-time
Data Scientist,CREF,"Dallas, TX 75201 75201","This role will work with the team to build the data science elements of iCREF to help improve user experience and, help drive the design and architecture of…View all CREF jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist salaries in Dallas, TX",30+ days ago,,,Full-time
Risk-DALLAS-Associate-Credit Risk,Goldman Sachs,"Dallas, TX 75201 75201 (Downtown area)","Support credit risk management senior leadership in partnering with business units and broader Credit department to assess data availability, data sufficiency,…View all Goldman Sachs jobs in Dallas, TX - Dallas jobsSalary Search: Risk-DALLAS-Associate-Credit Risk salaries in Dallas, TXSee popular questions & answers about Goldman Sachs",30+ days ago,4.0,,Full-time
newStatistical Analyst (REMOTE),Data Axle,"Remote in Dallas, TX 75240 75240","The position is responsible for executing data analysis for targeting and segmentation purposes.Handle all technical phases of a specific analytical project,…View all Data Axle jobs in Dallas, TX - Dallas jobsSalary Search: Statistical Analyst (REMOTE) salaries in Dallas, TXSee popular questions & answers about Data Axle",2 days ago,3.3,,Full-time
newData Scientist,CyberCoders,"Remote in Irving, TX 75062 75062","We can help you with data strategy & governance, financial planning, digital transformation, and data science readiness.At least 3 years of experience.",4 days ago,3.6,$35 - $40 an hour,$35 - $40 an hour
newBusiness Analyst,RetailMeNot,"Dallas, TX","You have experience in data mining structured and unstructured data (SQL, ETL, data warehouse, RDS, RedShift, Oracle, etc.).View all RetailMeNot jobs in Dallas, TX - Dallas jobsSalary Search: Business Analyst salaries in Dallas, TXSee popular questions & answers about RetailMeNot",5 days ago,3.9,,Full-time
Lead Data Scientist - Advanced Analytics,AT&T,"Dallas, TX","Manage analytical and data vendor teams.A Bachelors’ degree in economics, decision science, computer science, science, analytical marketing or other…View all AT&T jobs in Dallas, TX - Dallas jobsSalary Search: Lead Data Scientist - Advanced Analytics salaries in Dallas, TXSee popular questions & answers about AT&T",30+ days ago,3.7,,Full-time
Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.","Dallas, TX","4+ years of industry experience in predictive modeling, data science, and analysis.Experience handling terabyte size datasets, diving into data to discover…View all Amazon Web Services, Inc. jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist - Nationwide Opportunities salaries in Dallas, TXSee popular questions & answers about Amazon Web Services, Inc.",30+ days ago,3.5,,Full-time
Data Scientist,BEPC Inc,"Plano, TX","The primary responsibility of this role is to provide data science support to Credit Risk Loss Forecast domain.Pay & Benefits: $51.47/hr.View all BEPC Inc jobs in Plano, TX - Plano jobsSalary Search: Data Scientist salaries in Plano, TXSee popular questions & answers about BEPC Inc",Active 2 days ago,4.3,$51.47 an hour,$51.47 an hour
Sr Data Analyst,AT&T,"Dallas, TX","Focus on the development of meaningful data, collection of data (both automated and from human input), aggregation and insight development, analysis of data,…View all AT&T jobs in Dallas, TX - Dallas jobsSalary Search: Sr Data Analyst salaries in Dallas, TXSee popular questions & answers about AT&T",30+ days ago,3.7,,Full-time
newBusiness Analyst,RetailMeNot,"Dallas, TX","You have experience in data mining structured and unstructured data (SQL, ETL, data warehouse, RDS, RedShift, Oracle, etc.).View all RetailMeNot jobs in Dallas, TX - Dallas jobsSalary Search: Business Analyst salaries in Dallas, TXSee popular questions & answers about RetailMeNot",5 days ago,3.9,,Full-time
Data Scientist,Welltower,"Dallas, TX 75225 75225 (North Dallas area)","Experience with data mining and data visualization tools, such as Alteryx, Tableau etc.Knowledge of data and analytics landscape.View all Welltower jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist salaries in Dallas, TXSee popular questions & answers about Welltower",16 days ago,3.1,,Full-time
Data Scientist - Pricing Analytics - 100% REMOTE,Matlen Silver,Remote in Texas,"4+ years of experience in data science.Demonstrated experience in predictive modeling, data mining and data analysis.Must be eighteen years of age or older.",12 days ago,3.3,"$125,000 a year","$125,000 a year"
Advanced Analytics Translator,Coca-Cola Southwest Beverages,"Dallas, TX 75240 75240","Work with data engineers and data scientists to understand data requirements and problem solve on best practice data structures.View all Coca-Cola Southwest Beverages jobs in Dallas, TX - Dallas jobsSalary Search: Advanced Analytics Translator salaries in Dallas, TXSee popular questions & answers about Coca-Cola Southwest Beverages",10 days ago,3.0,,
Business Data Analyst,Indio Management,"Dallas, TX 75205 75205 (Lower Greenville area)","Understand/willingness to learn data science modeling and statistical analysis.Combine structured and unstructured data, and apply data modeling techniques to…View all Indio Management jobs in Dallas, TX - Dallas jobsSalary Search: Business Data Analyst salaries in Dallas, TXSee popular questions & answers about Indio Management",16 days ago,3.5,,Full-time
newStatistical Analyst (REMOTE),Data Axle,"Remote in Dallas, TX 75240 75240","The position is responsible for executing data analysis for targeting and segmentation purposes.Handle all technical phases of a specific analytical project,…View all Data Axle jobs in Dallas, TX - Dallas jobsSalary Search: Statistical Analyst (REMOTE) salaries in Dallas, TXSee popular questions & answers about Data Axle",2 days ago,3.3,,Full-time
"Associate, Analytics",GroupM Services,"Dallas, TX","Work with data scientist in providing data for modeling needs.Some hands-on, proven experience in an analytics or data science role preferred.View all GroupM Services jobs in Dallas, TX - Dallas jobsSalary Search: Associate, Analytics salaries in Dallas, TX",15 days ago,,,
