title_name,company_name,location,summary,post_day,rating,salary,jobs_type
newData Visualization Expert,The AES Corporation,"Houston, TX","Deep domain expertise of data science and statistical analysis and fluency with a Git/GitLab version control workflow (though not primarily a coding role, you…View all The AES Corporation jobs in Houston, TX - Houston jobsSee popular questions & answers about The AES Corporation",5 days ago,4.1,,Full-time
Data Scientist,Circle,"Remote in Houston, TX","Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…View all Circle jobs in Houston, TX - Houston jobsSalary Search: Data Scientist salaries in Houston, TXSee popular questions & answers about Circle",30+ days ago,3.7,,
newData Scientist,ABM Industries,"Remote in Sugar Land, TX 77478 77478","Partner with data security team and infrastructure teams to understand/establish protocols for data consumption, Masking and encryption of data.View all ABM Industries jobs in Sugar Land, TX - Sugar Land jobsSalary Search: Data Scientist salaries in Sugar Land, TXSee popular questions & answers about ABM Industries",8 days ago,3.2,,Full-time
Principal Data Engineer,MD Anderson Cancer Center,"Remote in Houston, TX 77030 77030","Incorporating highly integrated data governance processes that consistently tracking data provenance, security, data quality and ontology as well as through to…View all MD Anderson Cancer Center jobs in Houston, TX - Houston jobsSalary Search: Principal Data Engineer salaries in Houston, TXSee popular questions & answers about MD Anderson Cancer Center",9 days ago,4.1,,Full-time
Sr. Data Scientist,Freedom Financial Network,"Houston, TX 77005 77005 (West University area)","5+ years of experience as a professional data scientist.Keen eye for opportunities to get value from data.Establish and maintain relationships with internal…View all Freedom Financial Network jobs in Houston, TX - Houston jobsSalary Search: Sr. Data Scientist salaries in Houston, TXSee popular questions & answers about Freedom Financial Network",30+ days ago,3.6,,Full-time
newCloud Data Engineer,NexTier,"Houston, TX 77042 77042 (West Houston area)","Develop data APIs to support applications and data integrations.Work with the application development and data science teams supporting digital strategies.View all NexTier jobs in Houston, TX - Houston jobsSalary Search: Cloud Data Engineer salaries in Houston, TXSee popular questions & answers about NexTier",2 days ago,3.3,,Full-time
newSenior Data Scientist,Rhythm,"Remote in Houston, TX","5+ years of experience in data science, with a demonstrated ability to turn business problems into robust data science solutions.View all Rhythm jobs in Houston, TX - Houston jobsSalary Search: Senior Data Scientist salaries in Houston, TXSee popular questions & answers about Rhythm",8 days ago,3.8,,Full-time
Data Scientist / Data Science Engineer I - Early Career Deve...,Nabors Industries,"Houston, TX 77067 77067 (Greenspoint area)+1 location","Assist with developing data science solution for drilling applications based on given requirements and specification.Collecting, research and interpret data.View all Nabors Industries jobs in Houston, TX - Houston jobsSalary Search: Data Scientist / Data Science Engineer I - Early Career Development Program salaries in Houston, TXSee popular questions & answers about Nabors Industries",30+ days ago,3.9,,
"newSenior Specialist, Federal Data Engineer",KPMG,"Houston, TX 77002 77002 (Downtown area)+6 locations","Work with clients and team leads to discover data sources in client cloud environment, create data requests; utilize the ETL process to ingest and enrich…View all KPMG jobs in Houston, TX - Houston jobsSalary Search: Senior Specialist, Federal Data Engineer salaries in Houston, TXSee popular questions & answers about KPMG",Today,3.9,,
Business Intelligence Analyst,HCSS,"Hybrid remote in Houston, TX","Work to design the data architecture to support our data science initiatives.3+ years experience in a role performing data analysis or business intelligence…View all HCSS jobs in Houston, TX - Houston jobsSalary Search: Business Intelligence Analyst salaries in Houston, TXSee popular questions & answers about HCSS",30+ days ago,3.9,"$60,000 - $70,000 a year","$60,000 - $70,000 a year"
Sr Data & Applied Scientist,Microsoft,"Houston, TX","Know the data, systems, teams, and data science solutions in your area.5+ years of experience in data science modeling, statistics, analytics, business…View all Microsoft jobs in Houston, TX - Houston jobsSalary Search: Sr Data & Applied Scientist salaries in Houston, TXSee popular questions & answers about Microsoft",30+ days ago,4.2,,Full-time
Bioinformatics Programmer II- Machine Learning,Baylor College of Medicine,"Houston, TX 77030 77030 (Medical Center area)","Present data analysis results in regular collaborative meetings.With inputs from the team, generate data visualizations for manuscripts.View all Baylor College of Medicine jobs in Houston, TX - Houston jobsSalary Search: Bioinformatics Programmer II- Machine Learning salaries in Houston, TXSee popular questions & answers about Baylor College of Medicine",12 days ago,3.8,,
newDigital Marketing Data Analyst/Data Scientist,HP,"Spring, TX 77389 77389+1 location","Develops data sets to enable self-service data analysis within the broader marketing organization.Create and maintain data dashboards with visual software such…View all HP jobs in Spring, TX - Spring jobsSalary Search: Digital Marketing Data Analyst/Data Scientist salaries in Spring, TXSee popular questions & answers about HP",8 days ago,4.0,"$74,600 - $108,200 a year","$74,600 - $108,200 a year"
Data Analyst,Benelynk,"Remote in Houston, TX 77002 77002","Experience – Technical experience with data modeling and database design, including data warehousing.And finally, the team is responsible for data science and…View all Benelynk jobs in Houston, TX - Houston jobsSalary Search: Data Analyst salaries in Houston, TXSee popular questions & answers about Benelynk",30+ days ago,2.9,,Full-time
Data Engineer,Xecta,"Houston, TX","The data engineer will support our software developers, database architects, data analysts, and data scientists on data initiatives and will ensure optimal data…View all Xecta jobs in Houston, TX - Houston jobsSalary Search: Data Engineer salaries in Houston, TX",30+ days ago,,"$100,000 - $150,000 a year","$100,000 - $150,000 a year"
"Principal Data Scientist, NLP (Remote) - Houston, TX area ON...",Fidelity Investments,"Houston, TX 77027 77027 (Greenway - Upper Kirby area)","Manage and guide data science and data engineering elements of AI projects.Develop best practices for data science, considering the full analytical lifecycle.View all Fidelity Investments jobs in Houston, TX - Houston jobsSalary Search: Principal Data Scientist, NLP (Remote) - Houston, TX area ONLY salaries in Houston, TXSee popular questions & answers about Fidelity Investments",11 days ago,4.0,,Full-time
Machine Learning Big Data Developer,"JPMorgan Chase Bank, N.A.","Houston, TX+1 location","Need to have advance knowledge of application, data and infrastructure disciplines.Degree in computer science or a numerate subject (e.g. engineering, sciences…View all JPMorgan Chase Bank, N.A. jobs in Houston, TX - Houston jobsSalary Search: Machine Learning Big Data Developer salaries in Houston, TXSee popular questions & answers about JPMorgan Chase Bank, N.A.",29 days ago,3.9,,Full-time
RRC - Critical Infrastructure Division - Data Analyst I-II -...,RAILROAD COMMISSION OF TEXAS,"Houston, TX 77008 77008 (Heights area)","Assists in identifying and interpreting data patterns and trends and assessing data quality.Performing data clean-up and transformation, including migration of…View all RAILROAD COMMISSION OF TEXAS jobs in Houston, TX - Houston jobsSalary Search: RRC - Critical Infrastructure Division - Data Analyst I-II - Houston (East) Region salaries in Houston, TXSee popular questions & answers about RAILROAD COMMISSION OF TEXAS",15 days ago,3.7,"$3,293 - $5,371 a month","$3,293 - $5,371 a month"
Sr Data & Applied Scientist,Microsoft,"Houston, TX","Know the data, systems, teams, and data science solutions in your area.5+ years of experience in data science modeling, statistics, analytics, business…View all Microsoft jobs in Houston, TX - Houston jobsSalary Search: Sr Data & Applied Scientist salaries in Houston, TXSee popular questions & answers about Microsoft",30+ days ago,4.2,,Full-time
"newSenior Specialist, Federal Data Engineer",KPMG,"Houston, TX 77002 77002 (Downtown area)+6 locations","Work with clients and team leads to discover data sources in client cloud environment, create data requests; utilize the ETL process to ingest and enrich…View all KPMG jobs in Houston, TX - Houston jobsSalary Search: Senior Specialist, Federal Data Engineer salaries in Houston, TXSee popular questions & answers about KPMG",Today,3.9,,
"Principal Data Scientist, NLP (Remote) - Houston, TX area ON...",Fidelity Investments,"Houston, TX 77027 77027 (Greenway - Upper Kirby area)","Manage and guide data science and data engineering elements of AI projects.Develop best practices for data science, considering the full analytical lifecycle.View all Fidelity Investments jobs in Houston, TX - Houston jobsSalary Search: Principal Data Scientist, NLP (Remote) - Houston, TX area ONLY salaries in Houston, TXSee popular questions & answers about Fidelity Investments",11 days ago,4.0,,Full-time
newData Analyst Sr,Apache Corporation,"Houston, TX","Demonstrated ability to work with large sets of data; and.Oil and Gas experience with an understanding of upstream data.Bachelor’s Degree or equivalent;View all Apache Corporation jobs in Houston, TX - Houston jobsSalary Search: Data Analyst Sr salaries in Houston, TXSee popular questions & answers about Apache Corporation",4 days ago,3.8,,
"newDirector, Data Science",Sysco,"Houston, TX","Work with Sysco technology team on data integration to build a customer data-mart, which is the foundation of data-driven and customer-centric marketing…View all Sysco jobs in Houston, TX - Houston jobsSalary Search: Director, Data Science salaries in Houston, TXSee popular questions & answers about Sysco",5 days ago,3.3,,Full-time
"newChief of Data Analytics - Houston/Midland, TX",The University of Texas System,"Houston, TX","Will be working in large data sets, merged data sources, data warehousing and data connection improvements.Responsible for deriving, designing, and improving…View all The University of Texas System jobs in Houston, TX - Houston jobsSalary Search: Chief of Data Analytics - Houston/Midland, TX salariesSee popular questions & answers about The University of Texas System",2 days ago,3.8,,
Data Engineer on W2,GyftGo,"Houston, TX 77018 77018 (Oak Forest - Garden Oaks area)","Build data expertise and own data quality for allocated areas of ownership.Experience with large data sets, Hadoop, and data visualization tools.View all GyftGo jobs in Houston, TX - Houston jobsSalary Search: Data Engineer on W2 salaries in Houston, TX",Active 5 days ago,,$50 - $55 an hour,$50 - $55 an hour
newEngineering Advisor - Data Analytics,Callon Petroleum Operating Company,"Houston, TX 77042 77042 (West Houston area)","Work with the asset teams to organize and manage subsurface data sets including seismic, petrophysical and reservoir engineering data, geo-mechanical data,…View all Callon Petroleum Operating Company jobs in Houston, TX - Houston jobsSalary Search: Engineering Advisor - Data Analytics salaries in Houston, TX",7 days ago,,,
Machine Learning Big Data Developer,"JPMorgan Chase Bank, N.A.","Houston, TX+1 location","Need to have advance knowledge of application, data and infrastructure disciplines.Degree in computer science or a numerate subject (e.g. engineering, sciences…View all JPMorgan Chase Bank, N.A. jobs in Houston, TX - Houston jobsSalary Search: Machine Learning Big Data Developer salaries in Houston, TXSee popular questions & answers about JPMorgan Chase Bank, N.A.",29 days ago,3.9,,Full-time
Principal Data Scientist,Anthem,"Remote in Houston, TX","Coach junior team members on various data science techniques.Keep abreast of the latest enhancements and innovations within the areas of data science and big…View all Anthem jobs in Houston, TX - Houston jobsSalary Search: Principal Data Scientist salaries in Houston, TXSee popular questions & answers about Anthem",30+ days ago,3.7,,Full-time
Senior Data Scientist (ALS),Baker Hughes,"Houston, TX","Working with data engineers on data quality assessment, data cleansing and data analytics.Advising the Technical Product Manager with regards to data science…View all Baker Hughes jobs in Houston, TX - Houston jobsSalary Search: Senior Data Scientist (ALS) salaries in Houston, TXSee popular questions & answers about Baker Hughes",30+ days ago,4.0,,Full-time
Security Engineer-Machine Learning and Automation,Set Solutions,"Houston, TX 77002 77002 (Downtown area)","Set Solutions is working exclusively with a client on the hunt for a Security Engineer with expertise and interest in Machine Learning and Automation.View all Set Solutions jobs in Houston, TX - Houston jobsSalary Search: Security Engineer-Machine Learning and Automation salaries in Houston, TXSee popular questions & answers about Set Solutions",Active 1 day ago,4.6,"$95,000 - $200,000 a year","$95,000 - $200,000 a year"
Product Owner - Data Science,"Avetta, LLC","Remote in Houston, TX","Collaborates with business leaders, data science team, and business intelligence development team to prioritize solution requirements into an integrated product…View all Avetta, LLC jobs in Houston, TX - Houston jobsSalary Search: Product Owner - Data Science salaries in Houston, TX",30+ days ago,,,
Deals Tech & Data - Associate,PRICE WATERHOUSE COOPERS,"Remote in Houston, TX 77002 77002+2 locations","Handle, manipulate and analyse data and information responsibly.And/or data visualization certifications such as Tableau and PowerBI.View all PRICE WATERHOUSE COOPERS jobs in Houston, TX - Houston jobsSalary Search: Deals Tech & Data - Associate salaries in Houston, TXSee popular questions & answers about PRICE WATERHOUSE COOPERS",30+ days ago,4.0,,
"Data Engineer II, Data Science",Crown Castle USA Inc.,"Remote in Houston, TX 77024 77024","The data engineer collaborates with senior data engineers, data scientists, subject matter experts, and other data consumers to build ETL and ELT data pipelines…View all Crown Castle USA Inc. jobs in Houston, TX - Houston jobsSalary Search: Data Engineer II, Data Science salaries in Houston, TX",30+ days ago,,,
Technical Data Analyst,Graebel Companies Inc.,"Remote in Houston, TX","Experience with data management disciplines including data governance, data architecture, data modeling, data storage, data security, data integration, and data…View all Graebel Companies Inc. jobs in Houston, TX - Houston jobsSalary Search: Technical Data Analyst salaries in Houston, TXSee popular questions & answers about Graebel Companies Inc.",30+ days ago,2.2,,
Analyst,Rystad Energy,"Houston, TX","University degree in the relevant education field (e.g. economics, energy, engineering, finance, information technology, data science).View all Rystad Energy jobs in Houston, TX - Houston jobsSalary Search: Analyst salaries in Houston, TXSee popular questions & answers about Rystad Energy",30+ days ago,5.0,,
HRST People Analytics Manager,Deloitte,"Houston, TX 77002 77002 (Downtown area)+2 locations","Develop strategy and roadmap around Talent data, reporting, and analytics, including project management and coordination of data deliverables that cross…View all Deloitte jobs in Houston, TX - Houston jobsSalary Search: HRST People Analytics Manager salariesSee popular questions & answers about Deloitte",30+ days ago,4.0,,Full-time
Sr. LCA Data Analyst - Content GaBi,Sphera,"Remote in Houston, TX","Completed degree in engineering or natural sciences with a technical background.Become a specialist in two specific fields/sectors plus the American data…View all Sphera jobs in Houston, TX - Houston jobsSalary Search: Sr. LCA Data Analyst - Content GaBi salaries in Houston, TX",30+ days ago,2.9,,
